staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
12662,Handballkreis Hellweg,Handballkreis Hellweg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Männer Bezirksliga HKH,12,0,0,0,Allgemeiner Sportverein Hamm-Westfalen e.V. III,0,fussball.de
13224,Handballkreis Münsterland,Handballkreis Münsterland,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksliga Münsterland Männer,14,0,0,0,ASV Senden II,0,fussball.de
12482,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 1,12,5,227,10,SG Saulheim 2,4,fussball.de
12483,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,M-BOL 2,12,5,274,10,TUS Neuhofen,2,fussball.de
14339,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirklsliga Südwestfalen,12,0,0,0,HSG Hohenlimburg,0,fussball.de
14340,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Mitte,12,0,0,0,ASC Dortmund II,0,fussball.de
14338,KÜS Ruhrgebiet SÜD,KÜS Ruhrgebiet SÜD,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,KÜS Bezirksliga Ruhrgebiet,12,0,0,0,DJK Welper,0,fussball.de
14543,Mosel/Eifel-Nahe/Hunsrück,Mosel/Eifel-Nahe/Hunsrück,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Mosel/Eifel-Nahe/Hunsrück,10,0,0,0,DJK/MJC Trier II,0,fussball.de
13124,Rhein/Westerwald,Rhein/Westerwald,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Bezirksoberliga Rhein/Westerwald,10,0,0,0,GW Mendig II,0,fussball.de
14819,HK Aachen-Düren,HK Aachen-Düren,9,Bezirksliga / Kreisliga / Regionsliga,Regionsliga,9,0,0,0,Eschweiler SG III,0,fussball.de
12897,HK Bonn-Euskirchen-Sieg,HK Bonn-Euskirchen-Sieg,9,Bezirksliga / Kreisliga / Regionsliga,Kreisliga Männer,10,0,0,0,HSG Euskirchen II,0,fussball.de
16078,HK Essen,HK Essen,9,Bezirksliga / Kreisliga / Regionsliga,Regionsliga Männer Nord,10,0,0,0,DJK Winfried Huttrop 2.M,0,fussball.de
14914,HK Essen,HK Essen,9,Bezirksliga / Kreisliga / Regionsliga,Regionsliga Männer Süd,11,0,0,0,ASV Wuppertal,0,fussball.de
15675,HK Krefeld-Grenzland,HK Krefeld-Grenzland,9,Bezirksliga / Kreisliga / Regionsliga,BL Männer,14,1,0,2,Handball Oppum III,1,fussball.de
