rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
77,HBW Balingen-Weilstetten II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,12,1,0,0,1,31,32,-1,0,0.0,,fussball.de
78,HSG Eider Harde,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,10,1,0,0,1,24,25,-1,0,0.0,,fussball.de
79,TV 1861 Erlangen-Bruck,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,13,1,0,0,1,36,38,-2,0,0.0,,fussball.de
80,Spfr. Loxten,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,10,1,0,0,1,33,35,-2,0,0.0,,fussball.de
81,SC Magdeburg II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,11,1,0,0,1,30,32,-2,0,0.0,,fussball.de
82,Oranienburger HC,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,12,1,0,0,1,29,31,-2,0,0.0,,fussball.de
83,Wilhelmshavener HV,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,11,1,0,0,1,26,28,-2,0,0.0,,fussball.de
84,TUS 82 Opladen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,12,1,0,0,1,31,34,-3,0,0.0,,fussball.de
85,Stralsunder HV,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,13,1,0,0,1,29,32,-3,0,0.0,,fussball.de
86,MTV Grossenheidorn,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,12,1,0,0,1,28,31,-3,0,0.0,,fussball.de
87,SG Regensburg,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,14,1,0,0,1,36,40,-4,0,0.0,,fussball.de
88,HSG Varel,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,13,1,0,0,1,31,35,-4,0,0.0,,fussball.de
89,Bergische Panther,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,13,1,0,0,1,28,32,-4,0,0.0,,fussball.de
90,HV Grün Weiß Werder,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,14,1,0,0,1,33,38,-5,0,0.0,,fussball.de
91,VFL Eintracht Hagen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,14,1,0,0,1,30,35,-5,0,0.0,,fussball.de
92,HG Hamburg-Barmbek,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,15,1,0,0,1,25,30,-5,0,0.0,,fussball.de
93,HSG Dutenhofen Münchholzhausen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,14,1,0,0,1,23,28,-5,0,0.0,,fussball.de
94,Interaktiv.Handball,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,15,1,0,0,1,33,41,-8,0,0.0,,fussball.de
95,TSB Schwäbisch Gmünd,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,15,1,0,0,1,25,33,-8,0,0.0,,fussball.de
96,TV Bittenfeld II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,16,1,0,0,1,26,35,-9,0,0.0,,fussball.de
97,NHV Concordia Delitzsch,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,16,1,0,0,1,32,42,-10,0,0.0,,fussball.de
98,Ahlener SG,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,15,1,0,0,1,28,38,-10,0,0.0,,fussball.de
99,HV Vallendar,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,16,1,0,0,1,26,36,-10,0,0.0,,fussball.de
100,OHV Aurich,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,16,1,0,0,1,22,34,-12,0,0.0,,fussball.de
101,TSV Ellerbek,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13540,1,1,1,0,0,38,17,21,2,2.0,,fussball.de
